SEC_FILE_NUMBER,CONFORMED_DATE,NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,SHARE_VALUE,SHARE_AMOUNT,SH_PRN,PUT_CALL,DISCRETION,SOLE_VOTING_AUTHORITY,SHARED_VOTING_AUTHORITY,NONE_VOTING_AUTHORITY,CREATED_AT,UPDATED_AT
028-20693,2024-03-31,AIR TRANSPORT SERVICES GRP I,COM,00922R105,175322283,12741445,SH,,SOLE,12741445,0,0,2026-03-20 15:52:02.569769,2026-03-20 15:52:02.569769
028-20693,2024-03-31,ASTERA LABS INC,COM,04626A103,20608276,277777,SH,,SOLE,277777,0,0,2026-03-20 15:52:02.569769,2026-03-20 15:52:02.569769
028-20693,2024-03-31,IONQ INC,COM,46222L108,19251339,1927061,SH,,SOLE,1927061,0,0,2026-03-20 15:52:02.569769,2026-03-20 15:52:02.569769
028-20693,2024-03-31,MARVELL TECHNOLOGY INC,COM,573874104,15978337,225428,SH,,SOLE,225428,0,0,2026-03-20 15:52:02.569769,2026-03-20 15:52:02.569769
028-20693,2024-03-31,NAUTILUS BIOTECHNOLOGY INC,COM,63909J108,4283742,1457055,SH,,SOLE,1457055,0,0,2026-03-20 15:52:02.569769,2026-03-20 15:52:02.569769
028-20693,2024-03-31,OWLET INC,CL A NEW,69120X206,151936,35252,SH,,SOLE,35252,0,0,2026-03-20 15:52:02.569769,2026-03-20 15:52:02.569769
028-20693,2024-03-31,RIVIAN AUTOMOTIVE INC,COM CL A,76954A103,1734083982,158363834,SH,,SOLE,158363834,0,0,2026-03-20 15:52:02.569769,2026-03-20 15:52:02.569769
028-20693,2024-03-31,SMARTRENT INC,COM CL A,83193G107,1680073,626893,SH,,SOLE,626893,0,0,2026-03-20 15:52:02.569769,2026-03-20 15:52:02.569769
028-20693,2024-03-31,TWILIO INC,CL A,90138F102,108134358,1768346,SH,,SOLE,1768346,0,0,2026-03-20 15:52:02.569769,2026-03-20 15:52:02.569769
028-20693,2024-03-31,VITAL FARMS INC,COM,92847W103,37275098,1603230,SH,,DFND,0,1603230,0,2026-03-20 15:52:02.569769,2026-03-20 15:52:02.569769
028-20693,2024-09-30 00:00:00,AIR TRANSPORT SERVICES GRP I,COM,00922R105,206283995,12741445,SH,,SOLE,12741445,0,0,2026-03-20 15:52:02.582805,2026-03-20 15:52:02.582805
028-20693,2024-09-30 00:00:00,ASTERA LABS INC,COM,04626A103,14552737,277777,SH,,SOLE,277777,0,0,2026-03-20 15:52:02.582805,2026-03-20 15:52:02.582805
028-20693,2024-09-30 00:00:00,IONQ INC,COM,46222L108,16842513,1927061,SH,,SOLE,1927061,0,0,2026-03-20 15:52:02.582805,2026-03-20 15:52:02.582805
028-20693,2024-09-30 00:00:00,MARVELL TECHNOLOGY INC,COM,573874104,16257867,225428,SH,,SOLE,225428,0,0,2026-03-20 15:52:02.582805,2026-03-20 15:52:02.582805
028-20693,2024-09-30 00:00:00,NAUTILUS BIOTECHNOLOGY INC,COM,63909J108,4152607,1457055,SH,,SOLE,1457055,0,0,2026-03-20 15:52:02.582805,2026-03-20 15:52:02.582805
028-20693,2024-09-30 00:00:00,OWLET INC,CL A NEW,69120X206,158281,35252,SH,,SOLE,35252,0,0,2026-03-20 15:52:02.582805,2026-03-20 15:52:02.582805
028-20693,2024-09-30 00:00:00,RIVIAN AUTOMOTIVE INC,COM CL A,76954A103,1776842217,158363834,SH,,SOLE,158363834,0,0,2026-03-20 15:52:02.582805,2026-03-20 15:52:02.582805
028-20693,2024-09-30 00:00:00,SMARTRENT INC,COM CL A,83193G107,1084525,626893,SH,,SOLE,626893,0,0,2026-03-20 15:52:02.582805,2026-03-20 15:52:02.582805
028-20693,2024-09-30 00:00:00,TWILIO INC,CL A,90138F102,115331526,1768346,SH,,SOLE,1768346,0,0,2026-03-20 15:52:02.582805,2026-03-20 15:52:02.582805
028-20693,2024-09-30 00:00:00,VITAL FARMS INC,COM,92847W103,53630096,1529230,SH,,DFND,0,1529230,0,2026-03-20 15:52:02.582805,2026-03-20 15:52:02.582805
028-20693,2024-12-31 00:00:00,AIR TRANSPORT SERVICES GRP I,COM,00922R105,280056961,12741445,SH,,SOLE,12741445,0,0,2026-03-20 15:52:02.598288,2026-03-20 15:52:02.598288
028-20693,2024-12-31 00:00:00,ASTERA LABS INC,COM,04626A103,36791564,277777,SH,,SOLE,277777,0,0,2026-03-20 15:52:02.598288,2026-03-20 15:52:02.598288
028-20693,2024-12-31 00:00:00,MARVELL TECHNOLOGY INC,COM,573874104,24898523,225428,SH,,SOLE,225428,0,0,2026-03-20 15:52:02.598288,2026-03-20 15:52:02.598288
028-20693,2024-12-31 00:00:00,NAUTILUS BIOTECHNOLOGY INC,COM,63909J108,2447852,1457055,SH,,SOLE,1457055,0,0,2026-03-20 15:52:02.598288,2026-03-20 15:52:02.598288
028-20693,2024-12-31 00:00:00,OWLET INC,CL A NEW,69120X206,156871,35252,SH,,SOLE,35252,0,0,2026-03-20 15:52:02.598288,2026-03-20 15:52:02.598288
028-20693,2024-12-31 00:00:00,RIVIAN AUTOMOTIVE INC,COM CL A,76954A103,2106238992,158363834,SH,,SOLE,158363834,0,0,2026-03-20 15:52:02.598288,2026-03-20 15:52:02.598288
028-20693,2024-12-31 00:00:00,SMARTRENT INC,COM CL A,83193G107,1097063,626893,SH,,SOLE,626893,0,0,2026-03-20 15:52:02.598288,2026-03-20 15:52:02.598288
028-20693,2024-12-31 00:00:00,TWILIO INC,CL A,90138F102,191122836,1768346,SH,,SOLE,1768346,0,0,2026-03-20 15:52:02.598288,2026-03-20 15:52:02.598288
028-20693,2024-12-31 00:00:00,VITAL FARMS INC,COM,92847W103,57636679,1529230,SH,,DFND,0,1529230,0,2026-03-20 15:52:02.598288,2026-03-20 15:52:02.598288
028-20693,2024-06-30 00:00:00,AIR TRANSPORT SERVICES GRP I,COM,00922R105,176723842,12741445,SH,,SOLE,12741445,0,0,2026-03-20 15:52:02.611124,2026-03-20 15:52:02.611124
028-20693,2024-06-30 00:00:00,ASTERA LABS INC,COM,04626A103,16808286,277777,SH,,SOLE,277777,0,0,2026-03-20 15:52:02.611124,2026-03-20 15:52:02.611124
028-20693,2024-06-30 00:00:00,IONQ INC,COM,46222L108,13547239,1927061,SH,,SOLE,1927061,0,0,2026-03-20 15:52:02.611124,2026-03-20 15:52:02.611124
028-20693,2024-06-30 00:00:00,MARVELL TECHNOLOGY INC,COM,573874104,15757417,225428,SH,,SOLE,225428,0,0,2026-03-20 15:52:02.611124,2026-03-20 15:52:02.611124
028-20693,2024-06-30 00:00:00,NAUTILUS BIOTECHNOLOGY INC,COM,63909J108,3409509,1457055,SH,,SOLE,1457055,0,0,2026-03-20 15:52:02.611124,2026-03-20 15:52:02.611124
028-20693,2024-06-30 00:00:00,OWLET INC,CL A NEW,69120X206,145238,35252,SH,,SOLE,35252,0,0,2026-03-20 15:52:02.611124,2026-03-20 15:52:02.611124
028-20693,2024-06-30 00:00:00,RIVIAN AUTOMOTIVE INC,COM CL A,76954A103,2125242652,158363834,SH,,SOLE,158363834,0,0,2026-03-20 15:52:02.611124,2026-03-20 15:52:02.611124
028-20693,2024-06-30 00:00:00,SMARTRENT INC,COM CL A,83193G107,1498274,626893,SH,,SOLE,626893,0,0,2026-03-20 15:52:02.611124,2026-03-20 15:52:02.611124
028-20693,2024-06-30 00:00:00,TWILIO INC,CL A,90138F102,100459736,1768346,SH,,SOLE,1768346,0,0,2026-03-20 15:52:02.611124,2026-03-20 15:52:02.611124
028-20693,2024-06-30 00:00:00,VITAL FARMS INC,COM,92847W103,71522087,1529230,SH,,DFND,0,1529230,0,2026-03-20 15:52:02.611124,2026-03-20 15:52:02.611124
028-20693,2025-03-31 00:00:00,ADVANCED MICRO DEVICES INC,COM,007903107,84476321,822234,SH,,SOLE,822234,0,0,2026-03-20 15:52:02.623115,2026-03-20 15:52:02.623115
028-20693,2025-03-31 00:00:00,AIR TRANSPORT SERVICES GRP I,COM,00922R105,285918026,12741445,SH,,SOLE,12741445,0,0,2026-03-20 15:52:02.623115,2026-03-20 15:52:02.623115
028-20693,2025-03-31 00:00:00,ASTERA LABS INC,COM,04626A103,16574954,277777,SH,,SOLE,277777,0,0,2026-03-20 15:52:02.623115,2026-03-20 15:52:02.623115
028-20693,2025-03-31 00:00:00,MARVELL TECHNOLOGY INC,COM,573874104,13879602,225428,SH,,SOLE,225428,0,0,2026-03-20 15:52:02.623115,2026-03-20 15:52:02.623115
028-20693,2025-03-31 00:00:00,NAUTILUS BIOTECHNOLOGY INC,COM,63909J108,1254524,1457055,SH,,SOLE,1457055,0,0,2026-03-20 15:52:02.623115,2026-03-20 15:52:02.623115
028-20693,2025-03-31 00:00:00,OWLET INC,CL A NEW,69120X206,129727,35252,SH,,SOLE,35252,0,0,2026-03-20 15:52:02.623115,2026-03-20 15:52:02.623115
028-20693,2025-03-31 00:00:00,RIVIAN AUTOMOTIVE INC,COM CL A,76954A103,1971629733,158363834,SH,,SOLE,158363834,0,0,2026-03-20 15:52:02.623115,2026-03-20 15:52:02.623115
028-20693,2025-03-31 00:00:00,SMARTRENT INC,COM CL A,83193G107,758541,626893,SH,,SOLE,626893,0,0,2026-03-20 15:52:02.623115,2026-03-20 15:52:02.623115
028-20693,2025-03-31 00:00:00,VITAL FARMS INC,COM,92847W103,46595638,1529230,SH,,DFND,0,1529230,0,2026-03-20 15:52:02.623115,2026-03-20 15:52:02.623115
028-20693,2023-12-31 00:00:00,AIR TRANSPORT SERVICES GRP I,COM,00922R105,224376846,12741445,SH,,SOLE,12741445,0,0,2026-03-20 15:52:02.634143,2026-03-20 15:52:02.634143
028-20693,2023-12-31 00:00:00,IONQ INC,COM,46222L108,23876286,1927061,SH,,SOLE,1927061,0,0,2026-03-20 15:52:02.634143,2026-03-20 15:52:02.634143
028-20693,2023-12-31 00:00:00,MARVELL TECHNOLOGY INC,COM,573874104,13595563,225428,SH,,SOLE,225428,0,0,2026-03-20 15:52:02.634143,2026-03-20 15:52:02.634143
028-20693,2023-12-31 00:00:00,NAUTILUS BIOTECHNOLOGY INC,COM,63909J108,4356594,1457055,SH,,SOLE,1457055,0,0,2026-03-20 15:52:02.634143,2026-03-20 15:52:02.634143
028-20693,2023-12-31 00:00:00,OWLET INC,CL A NEW,69120X206,186131,35252,SH,,SOLE,35252,0,0,2026-03-20 15:52:02.634143,2026-03-20 15:52:02.634143
028-20693,2023-12-31 00:00:00,RIVIAN AUTOMOTIVE INC,COM CL A,76954A103,3715215546,158363834,SH,,SOLE,158363834,0,0,2026-03-20 15:52:02.634143,2026-03-20 15:52:02.634143
028-20693,2023-12-31 00:00:00,SMARTRENT INC,COM CL A,83193G107,1999789,626893,SH,,SOLE,626893,0,0,2026-03-20 15:52:02.634143,2026-03-20 15:52:02.634143
028-20693,2023-12-31 00:00:00,TWILIO INC,CL A,90138F102,134164411,1768346,SH,,SOLE,1768346,0,0,2026-03-20 15:52:02.634143,2026-03-20 15:52:02.634143
028-20693,2023-12-31 00:00:00,VITAL FARMS INC,COM,92847W103,25154679,1603230,SH,,DFND,0,1603230,0,2026-03-20 15:52:02.634143,2026-03-20 15:52:02.634143
028-20693,2025-06-30 00:00:00,ADVANCED MICRO DEVICES INC,COM,007903107,116675005,822234,SH,,SOLE,822234,0,0,2026-03-20 15:52:02.644806,2026-03-20 15:52:02.644806
028-20693,2025-06-30 00:00:00,ASTERA LABS INC,COM,04626A103,25116596,277777,SH,,SOLE,277777,0,0,2026-03-20 15:52:02.644806,2026-03-20 15:52:02.644806
028-20693,2025-06-30 00:00:00,IONQ INC,COM,46222L108,36705275,854207,SH,,SOLE,854207,0,0,2026-03-20 15:52:02.644806,2026-03-20 15:52:02.644806
028-20693,2025-06-30 00:00:00,MARVELL TECHNOLOGY INC,COM,573874104,17448127,225428,SH,,SOLE,225428,0,0,2026-03-20 15:52:02.644806,2026-03-20 15:52:02.644806
028-20693,2025-06-30 00:00:00,NAUTILUS BIOTECHNOLOGY INC,COM,63909J108,1056365,1457055,SH,,SOLE,1457055,0,0,2026-03-20 15:52:02.644806,2026-03-20 15:52:02.644806
028-20693,2025-06-30 00:00:00,OWLET INC,CL A NEW,69120X206,296117,35252,SH,,SOLE,35252,0,0,2026-03-20 15:52:02.644806,2026-03-20 15:52:02.644806
028-20693,2025-06-30 00:00:00,RIVIAN AUTOMOTIVE INC,COM CL A,76954A103,2175919079,158363834,SH,,SOLE,158363834,0,0,2026-03-20 15:52:02.644806,2026-03-20 15:52:02.644806
028-20693,2025-06-30 00:00:00,SMARTRENT INC,COM CL A,83193G107,620624,626893,SH,,SOLE,626893,0,0,2026-03-20 15:52:02.644806,2026-03-20 15:52:02.644806
028-20693,2025-06-30 00:00:00,VITAL FARMS INC,COM,92847W103,58905940,1529230,SH,,DFND,0,1529230,0,2026-03-20 15:52:02.644806,2026-03-20 15:52:02.644806
028-20693,2025-09-30 00:00:00,ASTERA LABS INC,COM,04626A103,54388737,277777,SH,,SOLE,277777,0,0,2026-03-20 15:52:02.655208,2026-03-20 15:52:02.655208
028-20693,2025-09-30 00:00:00,MARVELL TECHNOLOGY INC,COM,573874104,18951732,225428,SH,,SOLE,225428,0,0,2026-03-20 15:52:02.655208,2026-03-20 15:52:02.655208
028-20693,2025-09-30 00:00:00,NAUTILUS BIOTECHNOLOGY INC,COM,63909J108,1231211,1457055,SH,,SOLE,1457055,0,0,2026-03-20 15:52:02.655208,2026-03-20 15:52:02.655208
028-20693,2025-09-30 00:00:00,OWLET INC,CL A NEW,69120X206,298584,35252,SH,,SOLE,35252,0,0,2026-03-20 15:52:02.655208,2026-03-20 15:52:02.655208
028-20693,2025-09-30 00:00:00,RIVIAN AUTOMOTIVE INC,COM CL A,76954A103,2324781083,158363834,SH,,SOLE,158363834,0,0,2026-03-20 15:52:02.655208,2026-03-20 15:52:02.655208
028-20693,2025-09-30 00:00:00,SMARTRENT INC,COM CL A,83193G107,883919,626893,SH,,SOLE,626893,0,0,2026-03-20 15:52:02.655208,2026-03-20 15:52:02.655208
028-20693,2025-09-30 00:00:00,VITAL FARMS INC,COM,92847W103,62927815,1529230,SH,,DFND,0,1529230,0,2026-03-20 15:52:02.655208,2026-03-20 15:52:02.655208
028-06420,2024-03-31 00:00:00,3M CO,COM,88579Y101,5303500,50000,SH,,SOLE,50000,0,0,2026-03-20 15:52:04.416520,2026-03-20 15:52:04.416520
028-06420,2024-03-31 00:00:00,4D MOLECULAR THERAPEUTICS IN,COM,35104E100,1991250,62500,SH,,SOLE,62500,0,0,2026-03-20 15:52:04.416520,2026-03-20 15:52:04.416520
