CIK,REPORT_TYPE,IRS_NUMBER,SEC_FILE_NUMBER,DOC_TYPE,CONFORMED_DATE,FILED_DATE,ACCEPTANCE_DATETIME,PUBLIC_DOCUMENT_COUNT,SEC_ACT,FILM_NUMBER,NUMBER_TRADES,TOTAL_VALUE,OTHER_INCLUDED_MANAGERS_COUNT,IS_CONFIDENTIAL_OMITTED,SIGNATURE_NAME,SIGNATURE_TITLE,SIGNATURE_CITY,SIGNATURE_STATE,AMENDMENT_FLAG,MAIL_STREET_2,BUSINESS_STREET_1,BUSINESS_STATE,COMPANY_NAME,BUSINESS_PHONE,MAIL_CITY,MAIL_STREET_1,STATE_INC,FORMER_COMPANY_NAME,MAIL_ZIP,BUSINESS_CITY,MAIL_STATE,BUSINESS_STREET_2,BUSINESS_ZIP,FISCAL_YEAR_END,STANDARD_INDUSTRIAL_CLASSIFICATION,SEC_FILING_URL,CREATED_AT,UPDATED_AT
1029160,13F HOLDINGS REPORT,133914976,028-06420,13F-HR,2023-12-31,2024-02-14,2024-02-14 17:00:22,2,1934 Act,24640096,209,7646370171,1,,John DeSisto,Assistant General Counsel,New York,NY,,,"250 WEST 55TH STREET, FLOOR 29",NY,SOROS FUND MANAGEMENT LLC,(212) 872-1054,NEW YORK,"250 WEST 55TH STREET, FLOOR 29",DE,,10019.0,NEW YORK,NY,,10019.0,1231,,https://www.sec.gov/Archives/edgar/data/1029160/000090266424001751/0000902664-24-001751.txt,2026-03-22 03:23:47.514167,2026-03-22 03:23:47.514167
1029160,13F HOLDINGS REPORT,133914976,028-06420,13F-HR,2024-06-30,2024-08-14,2024-08-14 16:02:04,2,1934 Act,241207327,177,5565794990,1,,John DeSisto,Assistant General Counsel,New York,NY,,,"250 WEST 55TH STREET, FLOOR 29",NY,SOROS FUND MANAGEMENT LLC,(212) 872-1054,NEW YORK,"250 WEST 55TH STREET, FLOOR 29",DE,,10019.0,NEW YORK,NY,,10019.0,1231,,https://www.sec.gov/Archives/edgar/data/1029160/000090266424005131/0000902664-24-005131.txt,2026-03-22 03:23:47.543452,2026-03-22 03:23:47.543452
1029160,13F HOLDINGS REPORT,133914976,028-06420,13F-HR,2024-03-31,2024-05-15,2024-05-15 17:01:03,2,1934 Act,24952318,193,6015386149,1,,John DeSisto,Assistant General Counsel,New York,NY,,,"250 WEST 55TH STREET, FLOOR 29",NY,SOROS FUND MANAGEMENT LLC,(212) 872-1054,NEW YORK,"250 WEST 55TH STREET, FLOOR 29",DE,,10019.0,NEW YORK,NY,,10019.0,1231,,https://www.sec.gov/Archives/edgar/data/1029160/000090266424003649/0000902664-24-003649.txt,2026-03-22 03:23:47.566747,2026-03-22 03:23:47.566747
1029160,13F HOLDINGS REPORT,133914976,028-06420,13F-HR,2024-09-30,2024-11-14,2024-11-14 16:01:28,2,1934 Act,241461543,177,6921988610,1,,John DeSisto,Assistant General Counsel,New York,NY,,,"250 WEST 55TH STREET, FLOOR 29",NY,SOROS FUND MANAGEMENT LLC,(212) 872-1054,NEW YORK,"250 WEST 55TH STREET, FLOOR 29",DE,,10019.0,NEW YORK,NY,,10019.0,1231,,https://www.sec.gov/Archives/edgar/data/1029160/000090266424006588/0000902664-24-006588.txt,2026-03-22 03:23:47.587615,2026-03-22 03:23:47.587615
1029160,13F HOLDINGS REPORT,133914976,028-06420,13F-HR,2025-03-31,2025-05-15,2025-05-15 16:11:08,2,1934 Act,25953084,209,6704904664,1,,John DeSisto,Assistant General Counsel,New York,NY,,,"250 WEST 55TH STREET, FLOOR 29",NY,SOROS FUND MANAGEMENT LLC,(212) 872-1054,NEW YORK,"250 WEST 55TH STREET, FLOOR 29",DE,,10019.0,NEW YORK,NY,,10019.0,1231,,https://www.sec.gov/Archives/edgar/data/1029160/000090266425002391/0000902664-25-002391.txt,2026-03-22 03:23:47.607420,2026-03-22 03:23:47.607420
1029160,13F HOLDINGS REPORT,133914976,028-06420,13F-HR,2024-12-31,2025-02-14,2025-02-14 16:33:11,2,1934 Act,25629822,190,6645608141,1,,John DeSisto,Assistant General Counsel,New York,NY,,,"250 WEST 55TH STREET, FLOOR 29",NY,SOROS FUND MANAGEMENT LLC,(212) 872-1054,NEW YORK,"250 WEST 55TH STREET, FLOOR 29",DE,,10019.0,NEW YORK,NY,,10019.0,1231,,https://www.sec.gov/Archives/edgar/data/1029160/000090266425001069/0000902664-25-001069.txt,2026-03-22 03:23:47.629542,2026-03-22 03:23:47.629542
1029160,13F HOLDINGS REPORT,133914976,028-06420,13F-HR,2025-06-30,2025-08-14,2025-08-14 16:13:06,2,1934 Act,251219187,202,7966042757,1,,John DeSisto,Assistant General Counsel,New York,NY,,,"250 WEST 55TH STREET, FLOOR 29",NY,SOROS FUND MANAGEMENT LLC,(212) 872-1054,NEW YORK,"250 WEST 55TH STREET, FLOOR 29",DE,,10019.0,NEW YORK,NY,,10019.0,1231,,https://www.sec.gov/Archives/edgar/data/1029160/000090266425003648/0000902664-25-003648.txt,2026-03-22 03:23:47.650958,2026-03-22 03:23:47.650958
1029160,13F HOLDINGS REPORT,133914976,028-06420,13F-HR,2025-09-30,2025-11-14,2025-11-14 16:20:15,2,1934 Act,251486700,184,7020738956,1,,John DeSisto,Assistant General Counsel,New York,NY,,,"250 WEST 55TH STREET, FLOOR 29",NY,SOROS FUND MANAGEMENT LLC,(212) 872-1054,NEW YORK,"250 WEST 55TH STREET, FLOOR 29",DE,,10019.0,NEW YORK,NY,,10019.0,1231,,https://www.sec.gov/Archives/edgar/data/1029160/000090266425005044/0000902664-25-005044.txt,2026-03-22 03:23:47.673796,2026-03-22 03:23:47.673796
1603466,13F COMBINATION REPORT,465064661,028-16256,13F-HR,2024-03-31,2024-05-15,2024-05-15 16:17:38,2,1934 Act,24951082,2113,41259345417,0,,Jason M. Colombo,Authorized Person,Stamford,CT,,,72 CUMMINGS POINT ROAD,CT,"Point72 Asset Management, L.P.",203-890-2000,STAMFORD,72 CUMMINGS POINT ROAD,DE,,6902.0,STAMFORD,CT,,6902.0,1231,,https://www.sec.gov/Archives/edgar/data/1603466/000090266424003628/0000902664-24-003628.txt,2026-03-22 03:23:49.520479,2026-03-22 03:23:49.520479
1603466,13F COMBINATION REPORT,465064661,028-16256,13F-HR,2024-06-30,2024-08-14,2024-08-14 16:33:30,2,1934 Act,241208715,1790,38251735496,0,,Jason M. Colombo,Authorized Person,Stamford,CT,,,72 CUMMINGS POINT ROAD,CT,"Point72 Asset Management, L.P.",203-890-2000,STAMFORD,72 CUMMINGS POINT ROAD,DE,,6902.0,STAMFORD,CT,,6902.0,1231,,https://www.sec.gov/Archives/edgar/data/1603466/000090266424005149/0000902664-24-005149.txt,2026-03-22 03:23:49.649333,2026-03-22 03:23:49.649333
